priority,wave,score,slug,basis_status,personal_fields,personal_field_count,phone_count,email_count,personal_profile_count,community_count,other_public_link_count,missing_source_ref,missing_publication_consent_ref,missing_verification_scope,reason_codes,next_action,status
P0-1,1,99,bogana,basis_review_required,chairperson;phones;emails;chairperson_links,4,1,1,1,1,0,true,true,chairperson;phones;emails;chairperson_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;email_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,99,mahrovka,basis_review_required,chairperson;phones;emails;chairperson_links,4,1,1,1,1,0,true,true,chairperson;phones;emails;chairperson_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;email_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,99,pobeda,basis_review_required,chairperson;phones;emails;chairperson_links,4,1,1,1,1,0,true,true,chairperson;phones;emails;chairperson_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;email_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,99,ulyanovka,basis_review_required,chairperson;phones;emails;chairperson_links,4,1,1,1,1,0,true,true,chairperson;phones;emails;chairperson_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;email_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,99,vostochnyy,basis_review_required,chairperson;phones;emails;chairperson_links,4,1,1,1,1,0,true,true,chairperson;phones;emails;chairperson_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;email_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,81,ipas,basis_review_required,chairperson;phones;social_links,3,1,0,1,0,0,true,true,chairperson;phones;social_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,81,mayak,basis_review_required,chairperson;phones;social_links,3,1,0,1,0,0,true,true,chairperson;phones;social_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,81,mechta,basis_review_required,chairperson;phones;social_links,3,1,0,1,0,0,true,true,chairperson;phones;social_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,81,mirolyubie,basis_review_required,chairperson;phones;chairperson_links,3,1,0,1,2,0,true,true,chairperson;phones;chairperson_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
P0-1,1,81,pervomayskiy,basis_review_required,chairperson;phones;social_links,3,1,0,1,0,0,true,true,chairperson;phones;social_links,source_ref_missing;publication_consent_ref_missing;personal_profile_published;phone_published;verification_scope_incomplete,classify_channels_and_confirm_publication_scope,pending_external_confirmation
